127.0.0.1, 2020-04-16 10:06:52, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.010115
127.0.0.1, 2020-04-16 10:06:52, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.014997
127.0.0.1, 2020-04-16 10:06:57, POST, /rlabs_111/appadmin/select/db, HTTP/1.1, 200, 0.048279
127.0.0.1, 2020-04-16 10:07:13, POST, /rlabs_111/default/user/login, HTTP/1.1, 303, 0.200010
127.0.0.1, 2020-04-16 10:07:14, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.033647
127.0.0.1, 2020-04-16 10:07:14, GET, /rlabs_111/showPCs/get_OUs, HTTP/1.1, 200, 0.134697
127.0.0.1, 2020-04-16 10:07:21, GET, /rlabs_111/setup/index, HTTP/1.1, 200, 0.021367
127.0.0.1, 2020-04-16 10:07:21, GET, /rlabs_111/static/css/setup.css, HTTP/1.1, 304, 0.000267
127.0.0.1, 2020-04-16 10:07:23, GET, /rlabs_111/setup/manage_users, HTTP/1.1, 200, 0.030205
127.0.0.1, 2020-04-16 10:07:27, GET, /rlabs_111/default/user/logout, HTTP/1.1, 303, 0.039952
127.0.0.1, 2020-04-16 10:07:28, GET, /rlabs_111/default/index, HTTP/1.1, 303, 0.013425
127.0.0.1, 2020-04-16 10:07:28, GET, /rlabs_111/default/user/login, HTTP/1.1, 200, 0.016283
